1,เค้กกล้วยหอม ,เมนูเบเกอรีเนื้อฟูนุ่มเต็มคำ รสหอมหวานละมุนวิธีทำก็ไม่ซับซ้อน ,55.5,png,1
2,บราวนีกรอบ,เมนูของหวานที่จะทำให้คุณเพลิดเพลินไปกับช็อกโกแลตแบบจัดเต็มที่มาในรูปแบบกรุบกรอบ กินง่าย เคี้ยวเพลินจนหยุดไม่อยู่,60,png,1
3,บาสก์ชีสเค้ก , ชีสเค้กหน้าไหม้สุดฮิตสไตล์ญี่ปุ่น เนื้อชุ่มนุ่มละมุนสุดฟินใครได้ชิมก็ต้องร้องว้าว!,99,png,1
4,ขนมปังช็อกโกแลตเนยสด ,เมนูขนมหวานสุดอร่อย เพิ่มความหวานมันแบบพิเศษ รับรองอร่อยเริ่ด! ,89,png,2
5, ครัวซองต์,เบเกอรี่จากฝรั่งเศสที่มีลักษณะพิเศษจากการที่มีชั้นแป้งบาง ๆ หลายชั้นที่ถูกทบกับเนยไปมา ทำให้มีความกรอบนอกและนุ่มใน ,69,png,3
6,พายชั้น,เบเกอรี่ที่มีฐานเป็นแป้งพายที่กรอบและมีหลายชั้น โดยทั่วไปจะเป็นพายไส้คาว และพายไส้หวาน อาทิ พายกะหรี่ไก่ พายทูน่า,59,png,3
7,ทาร์ตไข่,เบเกอรี่ที่มีลักษณะเด่นคือ เนื้อสัมผัสที่ร่วน มีความกรอบและนุ่มละมุนลิ้นในคราวเดียว ทำให้ได้ขนมที่มีความกรอบนอกนุ่มในอันเป็นเอกลักษณ์,30,png,2
8,ชูเพสต์,ขนมอบเนื้อนุ่ม ไส้ทะลัก เมื่ออบแล้วจะมีช่องว่างภายใน ทำให้สามารถบรรจุไส้ต่างๆ ได้หลากหลาย เช่น ครีม คัสตาร์ด,50,png,3
9,ชิฟฟอนเค้ก,ชีฟองเค้ก ปัจจุบันเป็นที่นิยมกันมากในกลุ่มผู้ที่ต้องการบริโภคเค้กที่มีไขมันไม่มาก และรสชาติที่ไม่เลี่ยนจนเกินไป,70,png,1
10,พัฟฟ์ผลไม้สด ,ขนมอบที่มีลักษณะกรอบบางและเป็นชั้นๆ ซึ่งมีต้นกำเนิดจากยุโรป,95,png,1
11,ขนมปังลาวาชาเขียว ,ขนมปังลาวาชาเขียว สูตรขนมปังเหนียวนุ่มแบบฮ่องกงสูตรนี้พร้อมไส้ชาเขียวสุดเข้มข้นแบบทะลักทะลวงสุด ๆ,99,png,2
12,บลูเบอร์รีครัมเบิลมัฟฟิน , เมนูเบเกอรีสุดฟิน จนต้องขอเพิ่ม เปรี้ยวหวานลงตัว โรยหน้าด้วยครัมเบิ้ลกรุบกรอบหอมมัน,89,png,1
